Brand,Model Name,Connectivity,Price,Ratings,Reviews
realme,"NARZO N61 (Marble Black,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",nan,nan,4.0,"1,620"
realme,GT 6T,5G,"28,998",4.3,"3,093"
realme,"NARZO N61 (Marble Black,",4G,"7,498",4.0,"1,620"
realme,NARZO 70 Turbo,5G,"16,998",4.2,"2,025"
realme,NARZO 70 Turbo,5G,"17,998",4.2,"2,025"
realme,13+,5G,"21,498",4.0,35
realme,GT 6T,5G,"28,998",4.3,"3,093"
realme,GT 6T,5G,"30,998",4.3,"3,093"
realme,12+,5G,"17,948",3.8,173
realme,C65,5G,"11,299",4.0,142
realme,NARZO 70 Turbo,5G,"20,998",4.2,"2,025"
realme,12X,5G,"12,640",4.1,166
realme,GT 6T,5G,"28,998",4.3,"3,093"
realme,12x,5G,"12,765",4.1,218
realme,13+,5G,"21,498",4.0,35
realme,C61,4G,"7,096",4.1,17
realme,P1,5G,"13,954",4.0,143
realme,GT 6T,5G,"30,998",4.3,"3,093"
realme,13 Pro,5G,"23,899",3.9,33
realme,P1,5G,"14,885",4.0,144
realme,C61 Safari Green,4G,"7,199",4.0,40
realme,14x,5G,"15,780",nan,nan
realme,C63,5G,"10,899",3.8,22
realme,13+,5G,"21,498",4.0,35
realme,NARZO N65,5G,"12,740",4.0,"2,065"
realme,NARZO 70 Turbo,5G,"20,998",4.2,"2,025"
realme,NARZO 70x,5G,"13,999",4.1,"4,610"
realme,P1,5G,"13,894",3.7,4
realme,13+,5G,"19,998",4.0,35
realme,GT 6T,5G,"30,998",4.3,"3,093"
realme,P1,5G,"14,139",3.9,134
realme,C65,5G,"10,099",3.5,17
Realme,"C65, Glowing Black , 6GB + 128GB",nan,"10,990",3.7,53
realme,13 Pro,5G,"21,998",3.7,24
realme,P1,5G,"14,877",4.1,143
realme,13 Pro,5G,"22,299",3.6,38
realme,14x,5G,"15,969",4.0,1
realme,13+,5G,"19,998",4.0,35
realme,P1 Speed,5G,"15,999",3.5,5
OPPO,F27 Pro+,5G,"27,999",3.9,453
Oppo,K12x,5G,"14,498",3.8,17
OPPO,F27,5G,"22,999",3.6,162
OPPO,F27 Pro+,5G,"25,999",3.9,453
OPPO,F27,5G,"20,999",3.6,162
OPPO,A3 Pro,5G,"17,999",3.8,239
OPPO,A3X,5G,"12,499",3.4,103
OPPO,F27 Pro+,5G,"27,999",3.9,453
OPPO,"Reno2 Z (Sky White, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",nan,"17,999",4.3,"3,330"
Oppo,K12x,5G,"13,799",4.2,5
OPPO,A3X,4G,"8,999",3.6,15
OPPO,F27,5G,"22,999",3.6,162
OPPO,A3,5G,"15,999",3.9,57
OPPO,A3,5G,"15,999",3.9,57
OPPO,A3 Pro,5G,"17,289",3.8,239
Oppo,Reno 12 Pro,5G,"33,910",4.4,37
OPPO,A3X,4G,"9,770",3.6,15
OPPO,F27 Pro+,5G,"25,999",3.9,453
Oppo,"F21s Pro (Dawnlight Gold, 8GB RAM, 128 Storage)|6.43"" FHD+ AMOLED|32MP Front Camera with Microlens|4500 mAh Battery with 33W SUPERVOOC Charger|with No Cost EMI/Additional Exchange Offers",nan,"15,846.",4.1,"2,222"
OPPO,A3 Pro,5G,"19,999",3.8,239
Oppo,Reno 12 Pro,5G,"36,275",3.2,8
OPPO,A3X,5G,"12,499",3.4,103
OPPO,A3X,4G,"8,999",3.5,16
OPPO,A3X,5G,"12,499",3.4,103
OPPO,A3X,4G,"9,580",2.5,3
OPPO,A3X,5G,"11,499",3.4,103
OPPO,F27,5G,"20,999",3.6,162
OPPO,A3 Pro,5G,"19,999",3.8,239
Oppo,Reno10 Pro,5G,"29,350",3.8,59
OPPO,A3X,5G,"11,499",3.4,103
OPPO,A3X,5G,"10,490",nan,nan
Oppo,Reno13,5G,"34,999",nan,nan
Oppo,Reno 12 Pro,5G,"37,990",3.7,5
Oppo,Reno 12 Pro,5G,"34,990",4.0,32
OPPO,A3X,5G,"10,598",nan,nan
Oppo,Reno 12,5G,"27,980",3.0,8
Oppo,A3 Pro,5G,"18,999",nan,nan
Oppo,Reno 10 Pro+,5G,"39,890",5.0,1
Oppo,Reno 10 Pro+,5G,"39,499",nan,nan
Oppo,Reno 12,5G,"28,499",2.5,3
Oppo,Reno 11 Pro,5G,"31,270",3.3,32
(Refurbished),"Oppo A58 (Dazzling Green, 6GB RAM, 128GB Storage) | 5000 mAh Battery and 33W SUPERVOOC | 6.72"" FHD+ Punch Hole Display | Dual Stereo Speakers with No Cost EMI/Additional Exchange Offers",nan,"9,999",2.7,8
Oppo,F21 Pro,5G,"17,990",4.1,"2,222"
(Refurbished),Oppo Reno 11,5G,"21,499",1.0,3
Oppo,A59,5G,"14,789",4.1,133
OPPO,A3X,5G,"11,499",3.4,103
Oppo,F25 Pro,5G,"23,999",4.1,428
(Refurbished),Oppo Reno10 Pro,5G,"24,850",3.6,9
Vivo,T3x,5G,"14,499",4.1,123
Vivo,T3x,5G,"13,630",4.2,118
Vivo,T3 Lite,5G,"11,699",3.6,93
vivo,"Y18i (Space Black,",4G,"7,999",4.0,77
vivo,Y29,5G,"15,499",5.0,1
Vivo,V40e,5G,"26,999",3.0,2
Vivo,T3 Lite,5G,"12,496",3.9,108
Vivo,T3,5G,"17,329",4.4,22
Vivo,T3X,5G,"12,424",4.0,47
Vivo,T3x,5G,"11,790",4.2,40
Vivo,T3 Lite,5G,"10,395",3.5,30
vivo,Y28e,5G,"11,499",3.7,102
Vivo,T3 Lite,5G,"10,495",3.6,59
Vivo,V30,5G,"25,749",4.1,29
vivo,Y29,5G,"16,999",nan,nan
vivo,Y29,5G,"18,999",nan,nan
Vivo,V40,5G,"34,999",3.5,6
vivo,Y28e,5G,"11,499",3.7,102
vivo,Y29,5G,"15,499",nan,nan
vivo,Y58,5G,"17,499",4.0,77
vivo,"Y18t (Space Black,",4G,"9,499",4.6,5
Vivo,Y300,5G,nan,4.1,38
Vivo,Y300,5G,"21,999",4.1,38
vivo,V30,5G,"27,289",4.4,28
Vivo,V30e,5G,"24,748",4.4,54
vivo,Y29,5G,"13,999",nan,nan
vivo,Y29,5G,"18,999",nan,nan
vivo,"Y18t (Gem Green,",4G,"9,499",4.6,5
Vivo,Y200,5G,"19,999",4.1,972
vivo,Y58,5G,"17,499",4.0,77
vivo,Y28s,5G,"13,890",4.1,146
Vivo,Y300,5G,"23,990",4.1,38
Vivo,Y300,5G,"21,990",4.1,38
Vivo,"Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",nan,"11,000",4.0,"1,017"
Vivo,Y300,5G,"23,999",4.1,38
vivo,Y28s,5G,"15,999",4.1,146
Vivo,Y200,5G,"20,988",4.1,972
Vivo,Y200e,5G,"17,999",4.1,349
Vivo,"Y27 (Sea Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",nan,"10,999",4.0,"1,017"
vivo,Y29,5G,"16,999",nan,nan
Vivo,V40e,5G,"28,499",3.7,10
vivo,Y28s,5G,"12,999",4.1,146
Vivo,V40,5G,nan,3.5,6
Vivo,Y200e,5G,"17,999",4.1,349
Vivo,T3x,5G,"14,499",4.0,34
vivo,Y28e,5G,"10,499",3.7,102
Vivo,T2x,5G,"15,990",4.1,750
Vivo,Y300 Plus,5G,"21,899",3.6,17
Samsung,"Galaxy M05 (Mint Green,",4G,"6,499",3.9,"1,631"
Samsung,Galaxy M15,5G,"12,999",4.0,"1,821"
Samsung,Galaxy M15,5G,"12,999",4.0,"1,821"
Samsung,Galaxy M15,5G,"12,999",4.0,"1,821"
Samsung,Galaxy M35,5G,"16,999",4.1,"6,356"
Samsung,Galaxy M35,5G,"21,499",4.1,"6,356"
Samsung,Galaxy M35,5G,"18,499",4.1,"6,356"
Samsung,Galaxy M15,5G,"14,499",4.0,"1,821"
Samsung,Galaxy M15,5G,"14,499",4.0,"1,821"
Samsung,Galaxy M15,5G,"14,499",4.0,"1,821"
Samsung,Galaxy M35,5G,"18,499",4.1,"6,356"
Samsung,Galaxy M35,5G,"21,499",4.1,"6,356"
Samsung,Galaxy M14,4G,"8,045",4.0,446
Samsung,Galaxy M15,5G,"11,999",4.0,"1,821"
Samsung,Galaxy M35,5G,"16,999",4.1,"6,356"
Samsung,Galaxy M15,5G,"11,999",4.0,"1,821"
Samsung,Galaxy M15,5G,"11,999",4.0,"1,821"
Samsung,Galaxy M14,4G,"7,990",3.9,525
Samsung,Galaxy F15,5G,"12,205",4.0,146
Samsung,"Galaxy F05 (Twilight Blue, 64 GB) (4 GB RAM)",nan,"6,729",3.5,26
Samsung,Galaxy S23 FE,5G,"37,050",3.8,"1,328"
samsung,Galaxy A35,5G,"24,385",3.5,74
Samsung,Galaxy F15,5G,"12,400",3.9,200
Samsung,Galaxy M35,5G,"18,499",4.1,"6,356"
Samsung,Galaxy M35,5G,nan,4.1,"6,356"
Samsung,Galaxy A14,5G,"11,962",3.9,"2,421"
